order_id,customer_id,order_date
1,685,2021-11-20
2,560,2020-07-10
3,630,2022-06-03
4,193,2021-09-07
5,836,2021-10-11
6,764,2020-01-25
7,708,2020-03-09
8,360,2022-03-05
9,10,2022-03-31
10,724,2020-04-17
11,278,2021-07-20
12,755,2021-04-14
13,805,2021-12-19
14,600,2020-06-06
15,71,2022-06-16
16,473,2020-07-25
17,601,2020-09-13
18,397,2021-06-11
19,315,2021-02-21
20,706,2021-11-03
21,487,2022-02-04
22,552,2022-01-25
23,88,2022-01-11
24,175,2020-07-16
25,601,2022-07-15
26,850,2021-05-17
27,678,2020-04-15
28,538,2021-11-18
29,846,2021-05-13
30,73,2021-07-24
31,778,2021-01-08
32,917,2022-06-22
33,116,2022-07-15
34,977,2020-12-07
35,756,2020-01-31
36,710,2021-03-01
37,848,2020-01-09
38,432,2020-03-06
39,449,2021-09-13
40,851,2021-04-14
41,100,2020-09-21
42,985,2020-09-06
43,178,2022-01-19
44,756,2020-02-19
45,798,2021-01-07
46,660,2020-03-05
47,148,2021-08-26
48,911,2020-02-20
49,424,2020-06-25
50,289,2021-04-18
51,962,2021-10-31
52,266,2021-08-06
53,698,2021-06-22
54,640,2021-04-24
55,545,2021-02-02
56,544,2022-06-08
57,715,2022-02-26
58,245,2020-05-06
59,152,2020-05-16
60,676,2020-02-09
61,511,2022-07-14
62,460,2020-10-06
63,883,2022-04-25
64,184,2020-02-10
65,29,2020-05-09
66,803,2022-05-07
67,129,2021-04-17
68,129,2022-03-09
69,933,2021-03-01
70,54,2022-04-28
71,902,2021-01-15
72,551,2022-04-10
73,489,2022-04-23
74,757,2022-05-21
75,274,2022-04-19
76,336,2021-09-06
77,389,2021-04-14
78,618,2020-10-20
79,43,2022-03-22
80,443,2021-03-19
81,544,2021-11-07
82,889,2021-11-03
83,258,2022-04-21
84,322,2022-01-23
85,1000,2022-02-06
86,938,2022-07-01
87,58,2021-02-23
88,292,2022-01-29
89,871,2021-01-22
90,120,2021-07-05
91,780,2021-02-25
92,431,2021-05-21
93,83,2020-09-16
94,92,2021-02-28
95,897,2021-07-24
96,399,2021-04-28
97,612,2021-10-03
