transaction_id,order_id,product_id,transaction_quantity
1,3028,24,95
2,4384,70,83
3,1991,49,59
4,1382,38,99
5,4894,13,44
6,2685,52,56
7,2222,83,74
8,81,25,46
9,4691,21,8
10,210,17,65
11,1186,16,83
12,475,15,31
13,3179,37,91
14,307,88,55
15,3578,36,88
16,4113,21,51
17,3670,55,79
18,1326,11,91
19,4525,72,81
20,2198,62,88
21,3119,40,34
22,1516,22,72
23,4827,66,95
24,4647,11,97
25,1610,94,52
26,2375,28,40
27,292,53,56
28,3085,100,78
29,2694,33,97
30,992,8,90
31,3129,39,61
32,1235,47,19
33,730,55,84
34,3037,23,35
35,1252,21,54
36,1040,69,13
37,352,87,64
38,292,33,25
39,4863,65,95
40,608,84,58
41,154,17,19
42,3681,44,33
43,4580,74,45
44,4187,68,97
45,1844,81,88
46,2939,80,40
47,479,82,8
48,4165,77,82
49,262,35,85
50,3041,44,42
51,4357,57,80
52,4926,25,83
53,2611,65,79
54,384,49,59
55,616,33,94
56,4111,9,40
57,1208,100,94
58,3782,16,51
59,516,35,38
60,1841,25,78
61,1702,85,95
62,4883,45,79
63,1226,88,95
64,4721,48,11
65,68,83,41
66,4849,6,34
67,4672,54,24
68,201,67,72
69,2450,53,57
70,3943,22,39
71,3544,92,71
72,3061,76,76
73,1476,77,98
74,3588,63,22
75,1772,47,53
76,3654,14,60
77,4781,27,46
78,4650,44,59
79,4396,98,98
80,2021,42,27
81,2128,13,38
82,863,39,82
83,3457,19,22
84,3729,42,12
85,503,28,51
86,2210,6,41
87,174,61,73
88,4680,11,32
89,1106,96,25
90,3494,66,11
91,4132,27,80
92,4306,22,51
93,528,24,28
94,2603,54,78
95,4442,86,99
96,3401,80,62
97,4782,49,44
98,2990,37,20
99,2192,2,17
100,3195,56,31
101,3436,87,10
102,3813,72,74
103,4388,62,61
104,2157,47,87
105,1849,74,18
106,2946,73,58
107,4024,13,69
108,93,61,23
109,1278,92,64
110,3315,4,33
111,515,22,10
112,2191,78,88
113,3353,54,86
114,3563,39,50
115,1024,59,51
116,1926,53,65
117,124,100,30
118,2340,66,34
119,1954,53,19
120,2267,81,72
121,1229,75,54
122,3951,14,72
123,1449,9,44
124,3174,70,80
125,1040,55,45
126,1950,84,46
127,3223,51,90
128,124,35,33
129,743,96,93
130,4100,39,75
131,1626,83,15
132,3920,71,86
133,218,15,70
134,2756,32,23
135,2286,45,84
136,1978,33,81
137,3821,32,65
138,4376,82,8
139,1880,65,58
140,2463,21,10
141,2448,11,67
142,4737,83,63
143,1488,36,86
144,4008,96,80
145,3545,55,67
146,2675,30,56
147,4099,97,50
148,1226,45,25
149,2426,15,76
150,3747,81,64
151,4897,33,95
152,1622,93,38
153,701,55,96
154,30,79,95
155,1033,40,43
156,1109,52,31
157,2042,58,95
158,2785,25,51
159,1082,17,91
160,2998,22,5
161,3823,12,89
162,3787,38,73
163,1434,35,84
164,2621,34,75
165,698,23,96
166,3479,17,26
167,1902,37,96
168,1081,65,51
169,1075,27,19
170,289,78,92
171,1829,90,18
172,2506,79,38
173,3188,32,15
174,1514,33,57
175,4614,26,97
176,223,8,56
177,172,64,50
178,4194,77,95
179,2333,17,37
180,2150,41,26
181,3948,6,16
182,830,42,88
183,3182,46,25
184,4191,86,44
185,1504,27,78
186,3522,74,27
187,3219,55,97
188,4863,73,21
189,3256,70,5
190,3012,93,94
191,2770,19,52
192,167,29,61
193,156,37,83
194,1143,44,90
195,1724,91,62
196,873,5,79
197,2810,69,62
198,2295,72,41
199,3297,57,36
200,4962,67,45
201,3818,11,11
202,731,94,27
203,1695,59,40
204,4185,9,22
205,360,26,75
